Dataset,Model,Metric,Min,Q1,Median,Q3,Max,Mean
Defects4J,GPT 4-o,average_score_1,0.1827,0.5913,0.6457,0.699,1.0,0.6568966123362097
Defects4J,Mistral large-2407,average_score_1,0.2771,0.6912,0.7431,0.8031,1.0,0.755824434533291
SF110,GPT 4-o,average_score_1,0.1109,0.5674,0.623,0.698625,0.9756,0.6304685064935065
SF110,Mistral large-2407,average_score_1,0.2089,0.675475,0.7444,0.8382,0.9856,0.7493765715202052
Defects4J,GPT 4-o,CTSES_score_1,0.1808,0.5715,0.6251,0.6766,1.0,0.6377375199744327
Defects4J,Mistral large-2407,CTSES_score_1,0.2792,0.6717500000000001,0.7244,0.79,1.0,0.7401406180312201
SF110,GPT 4-o,CTSES_score_1,0.1181,0.5443,0.60205,0.6784250000000001,0.9738,0.6103597402597403
SF110,Mistral large-2407,CTSES_score_1,0.2162,0.6562,0.7273499999999999,0.8256749999999999,0.9843,0.7340259621552278
Defects4J,GPT 4-o,CTSES_score_2,0.1834,0.5841,0.637,0.6898,1.0,0.6492928092042186
Defects4J,Mistral large-2407,CTSES_score_2,0.2787,0.6839,0.7361,0.7984,1.0,0.7501948391207391
SF110,GPT 4-o,CTSES_score_2,0.1143,0.5588,0.6148,0.6911,0.975,0.6226930117501546
SF110,Mistral large-2407,CTSES_score_2,0.2134,0.6688,0.7385,0.832875,0.9851,0.7438062860808211
