Dataset,Model,Metric,Min,Q1,Median,Q3,Max,Mean
Defects4J,GPT 4-o,METEOR,0.1418,0.6192,0.7017,0.7588,1.0,0.6934703100031958
Defects4J,Mistral large-2407,METEOR,0.2495,0.7124,0.7623,0.8104,1.0,0.7679164064988849
SF110,GPT 4-o,METEOR,0.0757,0.599375,0.6715,0.7488250000000001,0.9761,0.6626443568336425
SF110,Mistral large-2407,METEOR,0.1451,0.6926,0.75845,0.8530249999999999,0.985,0.7629762026940347
Defects4J,GPT 4-o,ROUGE-L,0.1291,0.6259,0.6873,0.7428,1.0,0.6963889101949504
Defects4J,Mistral large-2407,ROUGE-L,0.2668,0.73685,0.7882,0.8571,1.0,0.8000408091748965
SF110,GPT 4-o,ROUGE-L,0.1056,0.613375,0.66965,0.7426,1.0,0.6760471243042672
SF110,Mistral large-2407,ROUGE-L,0.2269,0.7239,0.792,0.8766,0.9961,0.7914857601026299
Defects4J,GPT 4-o,CodeBLEU,0.19,0.5139,0.5618,0.6092,1.0,0.5808339725151805
Defects4J,Mistral large-2407,CodeBLEU,0.2934,0.618,0.6823,0.7626,1.0,0.6995181905065307
SF110,GPT 4-o,CodeBLEU,0.1445,0.4753,0.5352,0.6207750000000001,0.9693,0.5527136827458256
SF110,Mistral large-2407,CodeBLEU,0.2546,0.605,0.68855,0.792025,0.9814,0.6936705420141117
Defects4J,GPT 4-o,N-gram Match,0.0157,0.3503,0.3937,0.4477,1.0,0.42147769255353146
Defects4J,Mistral large-2407,N-gram Match,0.0928,0.4234,0.4833,0.564,1.0,0.526975884039503
SF110,GPT 4-o,N-gram Match,0.0004,0.313475,0.37195,0.461,0.937,0.39174262523191095
SF110,Mistral large-2407,N-gram Match,0.0099,0.3966,0.4897,0.63725,0.9623,0.5200990378447723
Defects4J,GPT 4-o,Weighted N-gram Match,0.1099,0.4365,0.4992,0.5741,1.0,0.5197648769574944
Defects4J,Mistral large-2407,Weighted N-gram Match,0.1954,0.4939,0.5522,0.6194,1.0,0.5856330997132845
SF110,GPT 4-o,Weighted N-gram Match,0.0529,0.4069,0.4703,0.57635,0.94,0.4883289888682746
SF110,Mistral large-2407,Weighted N-gram Match,0.1052,0.4787,0.5468500000000001,0.7124,0.9634,0.5903370750481077
Defects4J,GPT 4-o,Syntax Match,0.4871,0.7243,0.7858,0.8536,1.0,0.791910067114094
Defects4J,Mistral large-2407,Syntax Match,0.5407,0.8146,0.8929,0.9752000000000001,1.0,0.8826971328448551
SF110,GPT 4-o,Syntax Match,0.2601,0.7068,0.768,0.8266,1.0,0.7631455009276438
SF110,Mistral large-2407,Syntax Match,0.4852,0.8100750000000001,0.8789,0.9502250000000001,1.0,0.8680212796664528
Defects4J,GPT 4-o,Dataflow Match,0.1063,0.4788,0.5641,0.6567,1.0,0.5901817513582615
Defects4J,Mistral large-2407,Dataflow Match,0.1538,0.68895,0.8274,0.9653,1.0,0.8027552405224594
SF110,GPT 4-o,Dataflow Match,0.0432,0.4431,0.53155,0.6726,1.0,0.5676329004329004
SF110,Mistral large-2407,Dataflow Match,0.0838,0.6655249999999999,0.8438,0.9714,1.0,0.7962236850545221
