Dataset,Model,Embedding,Min,Q1,Median,Q3,Max,Mean
Defects4J,GPT 4-o,CodeBERT,0.9496,0.994,0.9967,0.9978,1.0,0.9948110578459572
Defects4J,GPT 4-o,GraphCodeBERT,0.8909,0.9819,0.9891,0.9922,1.0,0.9857048897411314
Defects4J,GPT 4-o,OpenAI,0.6191,0.911,0.932,0.9471,1.0,0.9276751600512164
Defects4J,Mistral large-2407,CodeBERT,0.949,0.9976,0.9986,0.9992,0.9999,0.9978247212488054
Defects4J,Mistral large-2407,GraphCodeBERT,0.8905,0.9941,0.9961,0.9977,0.9999,0.994892449824785
Defects4J,Mistral large-2407,OpenAI,0.6748,0.92515,0.9418,0.9558,0.9991,0.9386922188243289
SF110,GPT 4-o,CodeBERT,0.9326,0.9943,0.9966,0.9979,1.0,0.9951810915275201
SF110,GPT 4-o,OpenAI,0.7897,0.9123,0.9304,0.9472,0.997,0.9278580968803888
SF110,Mistral large-2407,CodeBERT,0.9326,0.9978,0.9987,0.9993,1.0,0.997763261706222
SF110,Mistral large-2407,GraphCodeBERT,0.9281,0.9945,0.9964,0.9978,1.0,0.9949716324567031
SF110,Mistral large-2407,OpenAI,0.8007,0.8898,0.9094,0.9252,0.9728,0.906157422193254
